"","LSOA21CD","distance_any_greenspace","distance_doorstop_greenspace","distance_local_greenspace","distance_neighbourhood_greenspace","distance_wider_greenspace","distance_district_greenspace","distance_subregional_greenspace","LSOA11CD"
"1",NA,1225.8250658,1233.1478683,2124.621668,6884.7900075,7842.4570545,12193.21642,13675.32531,NA
"2","E01005621",426.7437698,426.7437698,1700.682017,2629.505137,2629.505137,4614.291119,13099.72902,"E01005621"
"3","E01006412",64.165586545,64.165586545,73.94737295,234.1419571,624.72058255,624.72058255,9795.30591,"E01006412"
"4","E01006413",71.22384019,76.83204977,116.1493577,163.9012942,1092.087088,1092.087088,10102.71374,"E01006413"
"5","E01006414",150.71667685,215.54968045,221.20147265,263.88430515,1381.8017465,1381.8017465,10264.30158,"E01006414"
"6","E01006415",341.1749122,437.67059385,437.67059385,479.82342895,1525.4848115,3150.1372505,8770.897454,"E01006415"
"7","E01006416",272.7509871,320.3507971,320.3507971,1322.249509,2566.598187,2723.410996,9343.31963,"E01006416"
"8","E01006417",137.7206652,160.0761861,160.0761861,842.1820883,2167.010368,2709.14594,9305.221477,"E01006417"
"9","E01006418",301.0182217,307.3641548,307.3641548,1262.94431,2100.239299,2259.095467,9101.877494,"E01006418"
"10","E01006419",174.7164527,174.7164527,174.7164527,213.2140385,213.2140385,5832.445638,9995.278088,"E01006419"
"11","E01006420",252.662859,315.97307835,363.8561589,1488.7305725,1503.5059855,6708.0519105,10840.56301,"E01006420"
"12","E01006421",241.6439003,241.6439003,241.6439003,245.2370335,245.2370335,5257.171615,9420.004066,"E01006421"
"13","E01006422",192.0017714,281.6059456,281.6059456,1183.579868,1183.579868,6530.3651,10693.19755,"E01006422"
"14","E01006423",101.3442964,101.3442964,101.3442964,467.0154961,467.0154961,5959.758368,10122.59082,"E01006423"
"15","E01006424",770.99318575,770.99318575,904.3310126,1114.7125215,1114.7125215,4842.080602,10833.31088,"E01006424"
"16","E01006425",300.9366413,300.9366413,300.9366413,301.55987075,303.91417345,4589.1442175,8751.9766685,"E01006425"
"17","E01006426",171.3664208,234.5800202,234.5800202,1012.3615985,1081.400279,6795.427455,10741.56597,"E01006426"
"18","E01006427",179.9201586,180.87867845,180.87867845,558.1990817,633.34721625,6497.540394,10229.543485,"E01006427"
"19","E01006428",147.56865755,151.8183897,151.8183897,1368.353978,1431.2049,7240.2267655,11082.08579,"E01006428"
"20","E01006429",140.4080407,241.4761877,241.4761877,875.5632709,1237.067999,7176.510603,10616.68488,"E01006429"
"21","E01006430",108.5500005,111.1064568,169.7268844,254.731052,254.731052,5384.932945,9539.488885,"E01006430"
"22","E01006431",126.8313426,130.2776814,130.2776814,165.404631,357.5738406,6033.147103,9480.143709,"E01006431"
"23","E01006432",164.3938856,243.6162474,243.6162474,251.3224108,822.9940451,6827.929165,10151.20445,"E01006432"
"24","E01006433",100.7706787,112.40995185,135.32214945,217.6735654,217.6735654,4891.853121,9054.685572,"E01006433"
"25","E01006434",171.76388205,171.76388205,171.76388205,795.97583165,2394.614059,3159.206963,9586.567558,"E01006434"
"26","E01006435",194.4724688,291.2486815,291.2486815,557.9684413,1973.97602,3073.266678,9302.424427,"E01006435"
"27","E01006436",240.55097285,240.55097285,240.55097285,598.3586629,2367.9676545,3798.8077335,9728.71075,"E01006436"
"28","E01006437",225.2437761,240.5636407,240.5636407,389.5124426,2203.788979,4118.777076,9591.69668,"E01006437"
"29","E01006438",379.2468299,463.9338421,1385.378962,1388.762799,2336.177295,2336.177295,7561.846823,"E01006438"
"30","E01006439",471.7515396,477.4129782,766.12287205,891.04766255,1782.701354,1906.6347415,7928.9277325,"E01006439"
"31","E01006440",469.1300516,515.8934608,535.0722488,627.1101557,1073.919467,3542.350476,8379.914189,"E01006440"
"32","E01006442",100.9650847,143.2694139,157.2078827,1053.633953,1872.739824,3063.988621,9502.814468,"E01006442"
"33","E01006443",105.1248266,105.1248266,120.0597981,836.2280669,1562.955061,3057.313421,9567.494727,"E01006443"
"34","E01006444",106.20705555,284.599589,416.62951455,963.66980135,1623.9644575,3035.100884,9165.9062575,"E01006444"
"35","E01006445",205.046171,236.7715168,439.4310017,562.0454709,1146.140274,3447.380249,8675.315828,"E01006445"
"36","E01006446",848.7485534,848.7485534,848.7485534,1406.782237,3775.460799,4097.599325,9436.822203,"E01006446"
"37","E01006447",97.81349814,134.4804131,134.4804131,594.0636207,2695.662202,4557.497826,10026.415,"E01006447"
"38","E01006448",213.5041705,270.9992456,270.9992456,423.7797913,3371.414069,4857.921972,10508.29463,"E01006448"
"39","E01006449",227.6931501,273.1925588,421.041908,924.9657424,924.9657424,1916.801933,10069.23798,"E01006449"
"40","E01006450",351.6690923,351.6690923,351.9886298,1336.541786,1336.541786,2068.4995905,9993.1019535,"E01006450"
"41","E01006451",239.50790745,239.50790745,239.86950805,1211.8112765,1212.520408,2339.250699,10233.324795,"E01006451"
"42","E01006452",103.9033874,153.2741705,153.2741705,1229.010524,1613.160748,2685.081632,9869.389389,"E01006452"
"43","E01006453",333.2726931,333.2726931,333.2726931,1562.278476,1684.356772,2390.739108,10220.54803,"E01006453"
"44","E01006454",243.16883805,245.272287,331.6414718,659.1087501,1512.9404385,5028.4517815,9564.2555205,"E01006454"
"45","E01006455",175.93713885,175.93713885,204.55114205,397.1372135,1025.964366,4029.6702215,8581.8256965,"E01006455"
